AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
JEQ	Jequié Airport	Jequié, Bahia, Brazil
JER	Jersey Airport	Jersey, Channel Islands, United Kingdom
JEV	Évry Heliport	Évry, Essonne, France
JFK	John F. Kennedy International Airport	New York City, New York, United States
JFM	Fremantle Heliport	Fremantle, Western Australia, Australia
JFN	Ashtabula County Airport (FAA: HZY)	Ashtabula, Ohio, United States
JFR	Paamiut Airport	Paamiut, Greenland
JGA	Jamnagar Airport	Jamnagar, Gujurat, India
JGB	Jagdalpur Airport	Jagdalpur, India
JGC	Grand Canyon Heliport	Grand Canyon, Arizona, United States
JGE	Geoje Airport	Geoje, South Korea
JGL	Galleria Heliport (FAA: 16GA)	Marietta, Georgia, United States
JGN	Jiayuguan Airport	Jiayuguan, China
JGO	Qeqertarsuaq Heliport	Qeqertarsuaq, Greenland
JGP	Greenway Plaza Heliport	Houston, Texas, United States
JGQ	Transco Tower Garage Heliport (FAA: TS31)	Houston, Texas, United States
JGR	Kangilinnguit Heliport (Grønnedal Heliport)	Kangilinnguit (Grønnedal), Greenland
JGX	Glendale Heliport	Glendale, California, United States
JHB	Sultan Ismail International Airport	Johor Bahru, Malaysia
JHC	Island Heliport	Garden City, New York, United States
JHE	Hamnen Heliport	Helsingborg, Sweden
JHG	Xishuangbanna Gasa Airport	Jinghong, Xishuangbanna, Yunnan, China
JHM	Kapalua Airport	Lahaina, Hawaii, United States
JHQ	Shute Harbour Airport	Shute Harbour, Queensland, Australia
JHS	Sisimiut Airport	Sisimiut, Greenland
JHW	Chautauqua County-Jamestown Airport	Jamestown, New York, United States
JIA	Juina Airport	Juina, Mato Grosso, Brazil
JIB	Ambouli Airport	Djibouti, Djibouti
JID	Recreation and Conference Center Heliport (FAA: 9CA3)	City of Industry, California, United States
JIJ	Jijiga Airport	Jijiga, Ethiopia
JIK	Ikaria Airport	Ikaria, Greece
JIL	Ertaizi Airport	Jilin, China
JIM	Aba Segud Airport	Jimma, Ethiopia
JIP	Jipijapa Airport	Jipijapa, Ecuador
JIN	Jinja Airport	Jinja, Uganda
JIO	Ontario International Heliport	Ontario, California, United States
JIP	Jipijapa Airport	Jipijapa, Ecuador
JIR	Jiri Airport	Jiri, Nepal
JIU	Lushan Airport	Jiujiang, Jiangxi, China
JIW	Jiwani Airport	Jiwani, Pakistan
JJC	Jorge Jiménez Cantú National Airport	Atizapán de Zaragoza, Mexico
JJI	Juanjuí Airport	Juanjuí, Peru
JJN	Quanzhou Jinjiang Airport	Jinjiang City, Quanzhou, Fujian, China
JJU	Qaqortoq Heliport	Qaqortoq, Greenland
JKG	Jönköping Airport	Jönköping, Sweden
JKH	Chios Island National Airport	Chios Island, Greece
JKL	LGKY	Kalymnos National Airport	Kalymnos, Greece
JKR	Janakpur Airport	Janakpur, Nepal
JKT	All Airports	Jakarta, Java, Indonesia
JKV	Cherokee County Airport (FAA: JSO)	Jacksonville, Texas, United States
JLA	Quartz Creek Airport	Cooper Landing, Alaska, United States
JLB	Long Beach Heliport	Long Beach, California, United States
JLD	Landskrona Heliport	Landskrona, Sweden
JLN	Joplin Regional Airport	Joplin, Missouri, United States
JLO	Jesolo Airport	Jesolo, Italy
JLP	Juan-les-Pins Airport	Juan-les-Pins, France
JLR	Jabalpur Airport	Jabalpur, Madhya Pradesh, India
JLS	Jales Airport	Jales, São Paulo, Brazil
JLX	Los Angeles Union Station Heliport (FAA: 54L)	Los Angeles, California, United States
JMB	Jamba Airport	Jamba, Huíla, Angola
JMC	Commodore Center Heliport	Sausalito, California, United States
JMD	Market Centre Heliport	Dallas, Texas, United States
JMK	Mykonos Island National Airport	Mykonos Island, Greece
JMM	Malmö Harbour Heliport	Malmö, Sweden
JMN	Mankato Municipal Heliport	Mankato, Minnesota, United States
JMO	Jomsom Airport	Jomsom, Nepal
JMS	Jamestown Regional Airport	Jamestown, North Dakota, United States
JMU	Jiamusi International Airport	Jiamusi, Heilongjiang, China
JMY	Mammy Yoko Heliport	Freetown, Sierra Leone
JNA	Januária Airport	Januária, Minas Gerais, Brazil
JNB	OR Tambo International Airport	Johannesburg, Gauteng, South Africa
JNN	Nanortalik Heliport	Nanortalik, Greenland
JNG	Jining Airport	Jining, Shandong, China
JNI	Junín Airport	Junín, Buenos Aires, Argentina
JNN	Nanortalik Heliport	Nanortalik, Greenland
JNP	Newport Beach Heliport	Newport Beach, California, United States
JNS	Narsaq Heliport	Narsaq, Greenland
JNU	Juneau International Airport	Juneau, Alaska, United States
JNX	Naxos Island National Airport	Naxos Island, Greece
JNZ	Jinzhou Airport	Jinzhou, Liaoning, China
JOE	Joensuu Airport	Joensuu, Finland
JOG	Adisucipto International Airport	Yogyakarta, Indonesia
JOH	Port Saint Johns Airport	Port Saint Johns, South Africa
JOI	Joinville Airport (Cubatao Airport)	Joinville, Santa Catarina, Brazil
JOK	Yoshkar-Ola Airport	Yoshkar-Ola, Russia
JOL	Jolo Airport	Jolo, Sulu, Philippines
JOM	Njombe Airport	Njombe, Tanzania
JON	Johnston Atoll Airport	Johnston Atoll, U.S. Minor Outlying Islands
JOP	Josephstaal Airport	Josephstaal, Papua New Guinea
JOR	Choc Heliport (FAA: 4CA5)	Orange, California, United States
JOS	Jos Airport (Yakubu Gowon Airport)	Jos, Nigeria
JOT	Joliet Regional Airport	Joliet, Illinois, United States
JPA	Presidente Castro Pinto International Airport	Joao Pessoa, Paraíba, Brazil
JPD	Pasadena Heliport	Pasadena, California, United States
JPN	Pentagon Army Heliport	Washington, D.C., United States
JPR	Ji-Paraná Airport	Ji-Paraná, Rondônia, Brazil
JPU	La Défense Heliport	Paris, France
JQA	Qaarsut Airport (Uummannaq Airport)	Qaarsut / Uummannaq, Greenland
JQB	La Isabela International Airport (Dr. Joaquin Balaguer Int'l)	Santo Domingo, Dominican Republic
JQE	Jaqué Airport	Jaqué, Panama
JRA	West 30th Street Heliport	New York City, New York, United States
JRB	Downtown Manhattan Heliport (Wall St. Heliport)	New York City, New York, United States
JRC	Rochester Municipal Heliport	Rochester, Minnesota, United States
JRD	Riverside Metro Center Heliport (FAA: CA81)	Riverside, California, United States
JRE	East 60th Street Heliport	New York City, New York, United States
JRH	Jorhat Airport	Jorhat, India
JRK	Arsuk Airport	Arsuk, Greenland
JRN	Juruena Airport	Juruena, Mato Grosso, Brazil
JRO	Kilimanjaro International Airport	Kilimanjaro, Tanzania
JRS	Atarot Airport (Jerusalem International Airport)	Jerusalem, Israel
JSA	Jaisalmer Airport	Jaisalmer, India
JSD	Sikorsky Heliport	Stratford, Connecticut, United States
JSG	San Rafael Heliport	San Rafael, California, United States
JSH	Sitia Public Airport	Sitia, Crete, Greece
JSI	Skiathos Island National Airport	Skiathos Island, Greece
JSK	St. Cloud Municipal Heliport	St. Cloud, Minnesota, United States
JSL	Steel Pier Taj Mahal Heliport (FAA: 28NJ)	Atlantic City, New Jersey, United States
JSM	José de San Martín Airport	José de San Martín, Chubut, Argentina
JSN	Sherman Oaks Community Hospital Heliport (FAA: CL80)	Sherman Oaks, California, United States
JSO	Södertälje Heliport	Södertälje, Sweden
JSP	Sogwipo Heliport	Sogwipo (Seogwipo), Cheju (Jeju), South Korea
JSR	Jessore Airport	Jessore, Bangladesh
JSS	Spetses Airport	Spetses, Greece
JST	John Murtha Johnstown-Cambria County Airport	Johnstown, Pennsylvania, United States
JSU	Maniitsoq Airport	Maniitsoq, Greenland
JSY	Syros Island Airport	Syros Island, Greece
JSZ	Saint-Tropez Heliport	Saint-Tropez, France
JTI	Jatai Airport	Jatai, Goiás, Brazil
JTO	Thousand Oaks Heliport	Thousand Oaks, California, United States
JTR	Santorini Airport	Santorini, Thira, Greece
JTY	Astypalaia Airport	Astypalaia Island, Greece
JUA	Juara Airport	Juara, Mato Grosso, Brazil
JUB	Juba Airport	Juba, Sudan
JUI	Juist Airport	Juist, Lower Saxony, Germany
JUJ	Gobernador Horacio Guzmán International Airport	San Salvador de Jujuy, Jujuy, Argentina
JUL	Inca Manco Capac Airport	Juliaca, Peru
JUM	Jumla Airport	Jumla, Nepal
JUN	Jundah Airport	Jundah, Queensland, Australia
JUO	Juradó Airport	Juradó, Colombia
JUR	Jurien Bay Airport	Jurien Bay, Western Australia, Australia
JUT	Juticalpa Airport	Juticalpa, Honduras
JUV	Upernavik Airport	Upernavik, Greenland
JUZ	Quzhou Airport	Quzhou, Zhejiang, China
JVA	Ankavandra Airport	Ankavandra, Madagascar
JVI	Central Jersey Regional Airport (FAA: 47N)	Manville, New Jersey, United States
JVL	Southern Wisconsin Regional Airport	Janesville, Wisconsin, United States
JWA	Jwaneng Airport	Jwaneng, Botswana
JWC	Warner Center Plaza One Heliport (FAA: 96CA)	Woodland Hills, California, United States
JWH	Westchase Hilton Heliport (FAA: TS24)	Houston, Texas, United States
JXN	Jackson County Airport (Reynolds Field)	Jackson, Michigan, United States
JYO	Leesburg Executive Airport	Leesburg, Virginia, United States
JYV	Jyväskylä Airport	Jyväskylä, Finland
JZH	Jiuzhaigou Huanglong Airport	Songpan County, Sichuan, China
KAA	Kasama Airport	Kasama, Zambia
KAC	Kamishly Airport	Kamishly, Syria
KAG	Gangneung Airbase	Kangnung, South Korea
KAJ	Kajaani Airport	Kajaani, Finland
KAL	Kaltag Airport	Kaltag, Alaska, United States
KAN	Mallam Aminu Kano International Airport	Kano, Nigeria
KAO	Kuusamo Airport	Kuusamo, Finland
KAQ	Kangersuatsiaq Heliport	Kangersuatsiaq, Greenland
KAR	Kamarang Airport	Kamarang, Guyana
KAT	Kaitaia Airport	Kaitaia, New Zealand
KBA	Kabala Airport	Kabala, Sierra Leone
KBI	Kribi Airport	Kribi, Cameroon
KBL	Kabul International Airport	Kabul, Afghanistan
KBP	Boryspil Airport	Kiev, Ukraine
KBR	Sultan Ismail Petra Airport	Kota Bharu, Malaysia
KBS	Bo Airport	Bo, Sierra Leone
KBT	Kaben Airport	Maloelap Atoll, Marshall Islands
KBV	Krabi Airport	Krabi, Thailand
KBW	Chignik Bay Seaplane Base	Chignik, Lake and Peninsula Borough, Alaska, United States.
KCB	Tepoe Airstrip	Kasikasima, Suriname
KCC	Coffman Cove Seaplane Base	Prince of Wales Island, Alaska, United States
KCG	Chignik Fisheries Airport	Chignik, Lake and Peninsula Borough, Alaska, United States.
KCH	Kuching International Airport	Kuching, Sarawak, Malaysia
KCL	Chignik Lagoon Airport	Chignik Flats, Alaska, United States
KCM	Kahramanmaras Airport	Kahramanmaras, Turkey
KCO	Cengiz Topel Naval Air Station	Kocaeli, Turkey
KCR	Colorado Creek Airport	Colorado Creek, Alaska, United States
KCT	Koggala Airport	Galle, Sri Lanka
KCZ	Kochi Ryoma Airport	Kochi, Japan
KDA	Kolda North Airport	Kolda, Senegal
KDC	Kandi Airport	Kandi, Benin
KDG	Kardjali Airport	Kardjali, Bulgaria
KDH	Kandahar International Airport	Kandahar, Afghanistan
KDK	Kodiak Municipal Airport	Kodiak, Alaska, United States
KDL	Kärdla Airport	Kärdla, Hiiumaa, Estonia
KDM	Kaadedhdhoo Airport	Kaadedhdhoo Island, Gaafu Dhaalu Atoll, Maldives
KDO	Kadhdhoo Airport	Kadhdhoo Island, Laamu Atoll, Maldives
KEB	English Bay Airport	English Bay, Alaska, United States
KED	Kaedi Airport	Kaedi, Mauritania
KEF	Keflavík International Airport	Keflavík (near Reykjavík), Iceland
KEJ	Kemerovo Airport	Kemerovo, Kemerovo Oblast, Russia
KEK	Ekwok Airport	Ekwok, Alaska, United States
KEL	Kiel Holtenau Airport	Kiel, Germany
KEN	Kenema Airport	Kenema, Sierra Leone
KEP	Mahendra Airport	Nepalgunj, Nepal
KEZ	Ali Al Salem Airport	Ali Al Salem, Kuwait
KFA	Kiffa Airport	Kiffa, Mauritania
KFS	Kastamonu Airport	Kastamonu, Turkey
KFP	False Pass Airport	Aleutians East Borough, Alaska, United States
KGC	Kingscote Airport	Kingscote, Australia
KGD	Khrabrovo Airport	Kaliningrad, Russia
KGF	Sary-Arka Airport	Karaganda, Kazakhstan
KGG	Kédougou Airport	Kédougou, Senegal
KGI	Kalgoorlie-Boulder Airport	Kalgoorlie, Western Australia, Australia
KGK	Koliganek Airport	Koliganek, Alaska, United States
KGL	Kigali International Airport	Kigali, Rwanda
KGO	Kirovograd	Kirovograd, Ukraine
KGP	Kogalym Airport	Kogalym, Tyumen Oblast, Russia
KGS	Kos Island International Airport	Kos Island, Greece
KGX	Grayling Airport	Grayling, Alaska, United States
KGZ	Glacier Creek Airport	Glacier Creek, Alaska, United States
KHC	Kerch	Kerch, Ukraine
KHD	Khorramabad Airport	Khorramabad, Iran
KHG	Kashgar Airport (Kashi Airport)	Kashgar, Xinjiang, Republic of China
KHH	Kaohsiung International Airport	Kaohsiung, Taiwan
KHI	Jinnah International Airport (Quaid-e-Azam Int'l)	Karachi, Pakistan
KHN	Nanchang Changbei International Airport	Nanchang, Jiangxi, People’s Republic of China
KHT	Khost Airport	Khost, Afghanistan
KHV	Khabarovsk Novy Airport	Khabarovsk, Russia
KIC	Mesa Del Rey Airport	King City, California, United States
KID	Kristianstad Airport	Kristianstad, Sweden
KIH	Kish International Airport	Kish Island, Iran
KIJ	Niigata Airport	Niigata, Japan
KIK	Kirkuk	Kirkuk, Iraq
KIM	Kimberley Airport	Kimberley, South Africa
KIN	Norman Manley International Airport	Kingston, Jamaica
KIO	Kili Airport	Kili Island, Marshall Islands
KIR	Kerry Airport	Tralee, County Kerry, Ireland
KIV	Chisinau International Airport	Chisinau, Moldova
KIX	Kansai International Airport	Osaka, Japan
KJA	Krasnoyarsk Yemelyanovo Airport 	Krasnoyarsk, Russia
KJK	Kortrijk-Wevelgem International Airport	Wevelgem, Belgium
KKA	Koyuk Alfred Adams Airport	Koyuk, Alaska, United States
KKE	Bay of Islands Airport	Kerikeri, New Zealand
KKN	Kirkenes Airport, Høybuktmoen	Kirkenes, Finnmark, Norway
KKU	Ekuk Airport	Ekuk, Alaska, United States
KLC	Kaolack Airport	Kaolack, Senegal
KLD	Mialovo Airport	Tver Oblast, Russia
KLE	Kaélé Airport	Kaélé, Cameroon
KLF	Kaluga Airport	Kaluga, Russia
KLG	Kalskag Airport	Kalskag, Alaska, United States
KLJ	Klaipeda Airport	Klaipeda, Lithuania
KLN	Larsen Bay Airport (FAA: 2A3)	Larsen Bay, Alaska, United States
KLO	Kalibo Airport	Kalibo, Aklan, Philippines
KLQ	Kullorsuaq Heliport	Kullorsuaq, Greenland
KLR	Kalmar Airport	Kalmar, Sweden
KLS	Kelso-Longview Regional Airport	Kelso, Washington, United States
KLU	Klagenfurt Airport	Klagenfurt, Austria
KLV	Karlovy Vary Airport	Karlovy Vary, Czech Republic
KLW	Klawock Airport	Klawock, Alaska, United States
KMG	Kunming Wujiaba International Airport	Kunming, Yunnan, China
KMH	Johan Pienaar Airport	Kuruman, South Africa
KMJ	Kumamoto Airport	Kumamoto, Japan
KMK	Makabana Airport	Makabana, Republic of the Congo
KMP	Keetmanshoop Airport	Keetmanshoop, Namibia
KMQ	Komatsu Airport	Komatsu, Japan
KMS	Kumasi Airport	Kumasi, Ghana
KMU	Kisimayu Airport	Kisimayu, Somalia
KNA	Viña del Mar Airport	Viña del Mar, Chile
KNB	Kanab Municipal Airport	Kanab, Utah, United States
KNH	Kinmen Airport	Kinmen, Taiwan
KNK	Kokhanok Airport (FAA: 9K2)	Kokhanok, Alaska, United States
KNN	Kankan Airport	Kankan, Guinea
KNS	King Island Airport	Currie, Tasmania, Australia
KNT	Kennett Memorial Airport	Kennett, Missouri, United States
KNU	Kanpur Airport	Kanpur, Uttar Pradesh, India
KNW	New Stuyahok Airport	New Stuyahok, Alaska, United States
KNX	Kununurra Airport	Kununurra, Western Australia, Australia
KNZ	Kenieba Airport	Kenieba, Mali
KOA	Kona International Airport	Kailua/Kona, Hawaii, United States
KOI	Kirkwall Airport	Kirkwall, Orkney Islands, United Kingdom
KOJ	Kagoshima Airport	Kagoshima, Japan
KOK	Kronoby Airport	Kronoby/Kokkola/Jakobstad, Finland
KOP	Nakhon Phanom Airport	Nakhon Phanom, Thailand
KOT	Kotlik Airport (FAA: 2A9)	Kotlik, Alaska, United States
KOV	Kokshetau Airport	Kokshetau, Kazakhstan
KOW	Ganzhou Huangjin Airport	Ganzhou, Jiangxi, China
KOZ	Ouzinkie Airport	Ouzinkie, Alaska, United States
KPB	Point Baker Seaplane Base	Point Baker, Alaska, United States
KPC	Port Clarence Coast Guard Station	Port Clarence, Alaska, United States
KPH	Pauloff Harbor Seaplane Base	Aleutians East Borough, Alaska, United States
KPI	Kapit Airport	Sarawak, Malaysia
KPS	Kempsey Airport	Kempsey, New South Wales, Australia
KPV	Perryville Airport	Perryville, Alaska, United States
KPW	Port Williams	Port Williams, Alaska, United States
KQB	Koonibba Airport	Koonibba, South Australia, Australia
KRF	Kramfors-Sollefteå Airport	Kramfors / Sollefteå, Sweden
KRG	Karasabai Airport	Karasabai, Guyana
KRK	John Paul II International Airport	Kraków, Poland
KRM	Karanambo Airport	Karanambo, Guyana
KRN	Kiruna Airport	Kiruna, Sweden
KRO	Kurgan Airport	Kurgan, Russia
KRP	Karup Airport	Karup, Denmark
KRQ	Kramatorsk	Kramatorsk, Ukraine
KRR	Pashkovsky Airport	Krasnodar, Russia
KRS	Kristiansand Airport, Kjevik	Kristiansand, Vest-Agder, Norway
KRT	Khartoum International Airport	Khartoum, Sudan
KSA	Kosrae International Airport	Kosrae, Federated States of Micronesia
KSC	Košice Airport	Košice, Slovakia
KSD	Karlstad Airport	Karlstad, Sweden
KSF	Kassel Calden Airport	Kassel, Germany
KSH	Kermanshah Airport	Kermanshah, Iran
KSI	Kissidougou Airport	Kissidougou, Guinea
KSM	St. Mary's Airport	St. Mary's, Alaska, United States
KSN	Kostanay Airport	Kostanay, Kazakhstan
KSS	Sikasso Airport	Sikasso, Mali
KSU	Kristiansund Airport, Kvernberget	Kristiansund, Norway
KSW	Qiryat Shemona Airport	Qiryat Shemona, Israel
KSY	Kars Airport	Kars, Turkey
KTA	Karratha Airport	Karratha, Australia
KTM	Tribhuvan International Airport	Kathmandu, Nepal
KTN	Ketchikan International Airport	Ketchikan, Alaska, United States
KTO	Kato Airport	Kato, Guyana
KTP	Tinson Pen Aerodrome	Kingston, Jamaica, Jamaica
KTS	Brevig Mission Airport	Brevig Mission, Alaska, United States
KTT	Kittilä Airport	Kittilä, Finland
KTW	Katowice International Airport	Katowice, Poland
KTX	Koutiala Airport	Koutiala, Mali
KUA	Kuantan Airport	Pahang, Malaysia
KUF	Samara Airport	Samara, Russia
KUK	Kasigluk Airport (FAA: Z09)	Kasigluk, Alaska, United States
KUL	Kuala Lumpur International Airport	Sepang (near Kuala Lumpur), Malaysia
KUN	Kaunas International Airport	Kaunas, Lithuania
KUO	Kuopio Airport	Kuopio / Siilinjärvi , Finland
KUR	Razer Airport	Kron Monjan, Afghanistan
KUS	Kulusuk Airport	Kulusuk, Greenland
KUU	Bhuntar Airport	Bhuntar, Himachal Pradesh, India
KUT	Kopitnari Airport	Kutaisi, Georgia
KUV	Gunsan Airport	South Korea
KVA	Kavala Airport	Kavala, Greece
KVB	Skövde Airport	Skövde, Sweden
KVC	King Cove Airport	King Cove, Alaska, United States
KVK	Kirovsk Airport	Kirovsk, Russia
KVL	Kivalina Airport	Kivalina, Alaska, United States
KWA	Bucholz Army Airfield	Kwajalein, Marshall Islands
KWE	Guiyang Longdongbao Airport	Guiyang, Guizhou, China
KWH	Khwahan Airport	Khwahan, Afghanistan
KWI	Kuwait International Airport	Kuwait City, Kuwait
KWJ	Gwangju Airport	Gwangju, South Korea
KWK	Kwigillingok Seaplane Base	Kwigillingok, Alaska, United States
KWL	Guilin Liangjiang International Airport	Guilin, China
KWT	Kwethluk Airport	Kwethluk, Alaska, United States
KXF	Koro Airport	Koro Island, Fiji
KYA	Konya Airport	Konya, Turkey
KYD	Lanyu Airport	Orchid Island, Taitung County, Taiwan
KYK	Karluk Airport	Karluk, Alaska, United States
KYS	Kayes Airport	Kayes, Mali
KYU	Koyukuk Airport	Koyukuk, Alaska, United States
KYZ	Kyzyl Airport	Kyzyl, Tuva, Russia
KZC	Kampong Chhnang Airport	Kampong Chhnang, Cambodia
KZI	Philippos Airport	Kozani, Greece
KZN	Kazan International Airport	Kazan, Tatarstan, Russia
KZO	Kyzylorda Airport	Kyzylorda, Kazakhstan
KZS	Kastelorizo Island Public Airport	Kastelorizo, Greece
LAA	Lamar Municipal Airport	Lamar, Colorado, United States
LAC	Swallow Reef Airport	Swallow Reef, Sabah, Malaysia
LAD	Luanda Airport	Luanda, Angola
LAE	Lae Nadzab Airport	Lae, Papua New Guinea, Papua New Guinea
LAF	Purdue University Airport	West Lafayette, Indiana, United States
LAI	Lannion - Côte de Granit Airport	Lannion, France
LAL	Lakeland Linder Regional Airport	Lakeland, Florida, United States
LAM	Los Alamos Airport	Los Alamos, New Mexico, United States
LAN	Lansing Capital City Airport	Lansing, Michigan, United States
LAO	Laoag International Airport	Laoag City, Ilocos Norte, Philippines
LAP	Manuel Márquez de León International Airport	La Paz, Baja California Sur, Mexico
LAR	Laramie Regional Airport	Laramie, Wyoming, United States
LAS	McCarran International Airport	Las Vegas, Nevada, United States
LAW	Lawton-Fort Sill Regional Airport	Lawton, Oklahoma, United States
LAX	Los Angeles International Airport	Los Angeles, California, United States
LBA	Leeds Bradford International Airport	West Yorkshire, United Kingdom
LBB	Lubbock Preston Smith International Airport	Lubbock, Texas, United States
LBC	Lübeck Airport	Lübeck (near Hamburg), Germany
LBE	Arnold Palmer Regional Airport	Latrobe, Pennsylvania, United States near Pittsburgh
LBF	North Platte Regional Airport (Lee Bird Field)	North Platte, Nebraska, United States
LBG	Paris - Le Bourget Airport	Le Bourget (near Paris), France
LBI	Le Sequestre Airport	Albi, France
LBJ	Komodo Airport	Labuan Bajo, Flores, East Nusa Tenggara province, Indonesia
LBL	Liberal Municipal Airport	Liberal, Kansas, United States
LBO	Floyd W. Jones Lebanon Airport	Lebanon, Missouri, United States
LBR	Clarksville/Red River County Airport (J.D. Trissell Field)	Clarksville, Texas, United States
LBT	Lumberton Municipal Airport	Lumberton, North Carolina, United States
LBU	Labuan Airport	Federal Territory of Labuan, Malaysia
LBV	Leon M'Ba International Airport	Libreville, Gabon
LBX	Lubang Airport	Lubang, Occidental Mindoro, Philippines
LCA	Larnaca International Airport	Larnaca, Cyprus
LCE	Goloson International Airport	La Ceiba, Honduras
LCG	La Coruña Airport	La Coruña, Spain
LCH	Lake Charles Regional Airport	Lake Charles, Louisiana, United States
LCI	Laconia Municipal Airport	Laconia, New Hampshire, United States
LCJ	Lódz Wladyslaw Reymont Airport	Lódz, Poland
LCK	Rickenbacker International Airport	Columbus, Ohio, United States
LCQ	Lake City Municipal Airport	Lake City, Florida, United States
LCR	La Chorrera Airport	La Chorrera, Colombia
LCV	Tassignano Airport	Lucca, Italy
LCY	London City Airport	London, United Kingdom
LDB	Londrina - Aeroporto de Londrina	Londrina, Brasil
LDE	Tarbes - Lourdes Pyrenees Airport	Lourdes, France
LDJ	Linden Airport	Linden, New Jersey, United States
LDK	Lidköping-Hovby Airport	Lidköping, Sweden
LDM	Mason County Airport	Ludington, Michigan, United States
LDN	Lamidanda Airport	Lamidanda, Nepal
LDO	Ladouanie Airport	Ladouanie, Suriname
LDY	City of Derry Airport (Londonderry Eglinton Airport)	Derry, Northern Ireland
LEA	Learmonth Airport	Exmouth, Western Australia, Australia
LEB	Lebanon Municipal Airport	Lebanon, New Hampshire, United States
LED	Pulkovo Airport, Rzhevka Airport	Saint Petersburg, Russia
LEE	Leesburg International Airport	Leesburg, Florida, United States
LEH	Le Havre Octeville Airport	Le Havre, France
LEI	Almería International Airport	Almería, Spain
LEJ	Leipzig/Halle Airport	Leipzig, Germany
LEK	Tata Airport	Labe, Guinea
LEM	Lemmon Municipal Airport	Lemmon, South Dakota, United States
LEN	León Airport	León, Spain
LEQ	Land's End Airport	Land's End, Cornwall, UK
LET	Alfredo Vásquez Cobo International Airport	Leticia, Colombia
LEW	Auburn/Lewiston Municipal Airport	Auburn/Lewiston, Maine, United States
LEX	Blue Grass Airport	Lexington, Kentucky, United States
LEY	Lelystad Airport	Lelystad, The Netherlands
LFB	Lumbo Airport	Lumbo, Mozambique
LFI	Langley Air Force Base	Hampton, Virginia, United States
LFK	Angelina County Airport	Lufkin, Texas, United States
LFR	La Fria Airport	La Fria, Venezuela
LFT	Lafayette Regional Airport	Lafayette, Louisiana, United States
LFW	Lomé-Tokoin Airport	Lomé, Togo
LGA	LaGuardia Airport	New York City, United States
LGB	Long Beach Airport	Long Beach, California, United States
LGG	Liège Airport	Liège, Wallonia, Belgium
LGK	Langkawi International Airport	Kedah, Malaysia
LGP	Legazpi Airport	Legazpi City, Albay, Philippines
LGQ	Lago Agrio Airport	Nueva Loja, Ecuador
LGS	Comodoro D. Ricardo Salomón Airport	Malargue, Mendoza, Argentina
LGW	London Gatwick Airport	London, United Kingdom
LHA	Black Forest Airport	Lahr, Germany
LHB	Hearne Municipal Airport	Hearne, Texas, United States
LHE	Allama Iqbal International Airport	Lahore, Pakistan
LHM	Lincoln Regional Airport (Karl Harder Field)	Lincoln, California, United States
LHR	London Heathrow Airport	London, United Kingdom
LHV	William T. Piper Memorial Airport	Lock Haven, Pennsylvania, United States
LHX	La Junta Municipal Airport	La Junta, Colorado, United States
LHZ	Franklin County Airport	Louisburg, North Carolina, United States
LIB	Limbunya Airport	Limbunya, Northern Territory, Australia
LIC	Limon Municipal Airport	Limon, Colorado, United States
LID	Valkenburg Airport	Leiden, Netherlands
LIG	Bellegarde Airport	Limoges, France
LIH	Lihue Airport	Lihue, Hawaii, United States
LIK	Likiep Airport	Likiep Atoll, Marshall Islands
LIL	Lille Lesquin International Airport	Lille, France
LIM	Jorge Chavez International Airport	Callao (near Lima), Peru
LIN	Linate Airport	Milan, Italy
LIR	Daniel Oduber Quiros International Airport	Liberia, Costa Rica
LIS	Portela Airport	Lisbon, Portugal
LIT	Little Rock National Airport (Adams Field)	Little Rock, Arkansas, United States
LIU	Littlefield Municipal Airport	Littlefield, Texas, United States
LIY	MidCoast Regional Airport at Wright Army Airfield	Fort Stewart, Hinesville, Georgia, United States
LJU	Brnik Airport	Ljubljana, Slovenia
LKK	Kulik Lake Airport	Kulik Lake, Alaska, United States
LKL	Lakselv Airport, Banak	Lakselv, Norway
LKN	Leknes Airport	Leknes, Norway
LKO	Amausi Airport	Lucknow, India
LKP	Lake Placid Airport	Lake Placid, New York, United States
LKR	Lancaster County Airport (McWhirter Field)	Lancaster, South Carolina, United States
LKU	Louisa County Airport (Freeman Field)	Louisa, Virginia, United States
LKV	Lake County Airport	Lakeview, Oregon, United States
LLA	Luleå Airport	Luleå, Sweden
LLK	Lenkoran International Airport	Lenkoran, Azerbaijan
LLU	Alluitsup Paa Heliport	Alluitsup Paa, Greenland
LLW	Lilongwe International Airport	Lilongwe, Malawi
LLX	Caledonia County Airport	Lyndonville, Vermont, United States
LLY	South Jersey Regional Airport	Mount Holly, New Jersey, United States
LMC	La Macarena Airport	La Macarena, Colombia
LME	Le Mans Arnage Airport	Le Mans, France
LML	Lae Airport	Lae Atoll, Marshall Islands
LMM	Federal del Valle del Fuerte International Airport	Los Mochis, Mexico
LMP	Lampedusa Airport	Lampedusa, Italy
LMS	Louisville Winston County Airport	Louisville, Mississippi, United States
LMT	Klamath Falls Airport	Klamath Falls, Oregon, United States
LNA	Palm Beach County Park Airport	West Palm Beach, Florida, United States
LNB	Lamen Bay Airport	Lamen Bay, Vanuatu
LNC	Lancaster Airport	Lancaster, Texas, United States
LND	Hunt Field	Lander, Wyoming, United States
LNE	Lonorore Airport	Lonorore, Vanuatu
LNK	Lincoln Airport	Lincoln, Nebraska, United States
